aftermath,alliance,assassins,battle_details,branches,capital,casualties,christian_element,commanders,confederation,controversy,economy,genealogy,historical_note,history,internal_division,key,key_battle,key_event,key_figures,language,leader_claim,loyal_leader,main_settlement,military_strength,name_ei3,notable_event,notable_members,note,outcome,population,pre_islamic,pre_islamic_note,reason_loyal,region,religion,ridda_leader,ridda_leaders,ridda_role,ridda_status,role_in_ridda,scholarly_note,siege_details,sources,sub_clans,sub_tribes,territory
Important in conquest of Iraq; al-Muthannā ibn Ḥāritha from Shayban,,,,,,,,,ʿAdnān (Rabīʿa branch),,,Bakr → Wāʾil → Qāsiṭ → Hinb → Afṣā → Rabīʿa,,,,bakr_ibn_wail,,,,,,,,,Bakr ibn Wāʾil,,al-Ḥuṭam ibn Ḍubayʿa | al-Muthannā ibn Ḥāritha (later),,Pacified after Bahrain campaign by al-ʿAlāʾ ibn al-Ḥaḍramī,,Fought Persians at Dhū Qār (~610 CE) - Arab victory,,,Eastern Arabia / Bahrain / Lower Iraq,,al-Ḥuṭam ibn Ḍubayʿa,,Some elements rebelled in Bahrain under al-Ḥuṭam,,,,,EI2: Bakr b. Wāʾil,,Shayban | ʿIjl | Yashkur | Ḍubayʿa | Qays ibn Thaʿlaba,From Bahrain coast to lower Euphrates
,,,,,,,,,ʿAdnān (Rabīʿa branch),,,ʿAbd al-Qays → Afṣā → Rabīʿa,,,,abd_al_qays,,,,,,al-Jārūd ibn Bishr,"Hajar, al-Qaṭīf",,ʿAbd al-Qays,,al-Jārūd ibn Bishr | al-Mundhir ibn Sāwā,,Commended for loyalty; strengthened position,,,,,Bahrain / Eastern Arabia,Significant Christian population pre-Islam,,,REMAINED LOYAL - did not apostatize,,Supported Muslim forces against Bahrain rebels,Important example of tribe that remained loyal throughout,,EI2: ʿAbd al-Ḳays,,,
Kalb especially important in Umayyad Syria,,,,,,,,,Disputed - claimed by both Qaḥṭān and ʿAdnān,,,Genealogy disputed: Maʿadd (ʿAdnān) or Ḥimyar (Qaḥṭān)?,,,,qudaa,,,,,,,,,Quḍāʿa,,,,Pacified; became important in Syrian futūḥāt,,,,,Northern Arabia / Syrian borders,,,,Some elements rebelled; generally minor compared to Najd/Yemen,,,,,EI2: Ḳuḍāʿa,,Kalb | Bahrāʾ | Tanūkh | Juhayna | Balī | ʿUdhra,From northern Ḥijāz to Syrian frontier
,,,,,,,,,Qaḥṭān (Kahlān branch),,,Ṭayyiʾ → Adad → Kahlān,,,,tayy,,,,,,ʿAdī ibn Ḥātim al-Ṭāʾī,Aja and Salma mountains (Jabal Ṭayyiʾ),,Ṭayyiʾ,,"ʿAdī ibn Ḥātim | Ḥātim al-Ṭāʾī (pre-Islamic, proverbial generosity)",ʿAdī ibn Ḥātim remained loyal and helped pacify tribe,Submitted relatively quickly; ʿAdī's influence crucial,,,,,Najd (northern) / Jabal Shammar,,,,Initially wavered; some followed Ṭulayḥa briefly,,,,,EI2: Ṭayyiʾ,,,
Remote region; pacified late in campaigns,,,,,,,,ʿIkrima ibn Abī Jahl / ʿArfaja ibn Harthama,Qaḥṭān (South Arabian),,"Fishing, pastoralism, frankincense",,,,,mahra,,,,Spoke South Arabian language (Mahri) - not Arabic,,,,,Mahra,,,,Subjugated (12 AH),,,,,Mahra (between Ḥaḍramawt and Oman),,,,Rebelled after Oman campaign,,,,,EI2: Mahra,,,Remote southeastern coast
,,,,,,,,,ʿAdnān,,,,,,,rabiya,,,,,,,,,Rabīʿa ibn ʿĀmir,,,,Submitted after Bahrain campaign,,,,,al-Baḥrayn / Yamāma borders,,,,Some sections rebelled in Bahrain area,,,,,Balādhurī: Futūḥ,,,
,,,,,,,,,ʿAdnān (Ḥanīfa-related),,,,,,,banu_najiya,,,,,,,,,Banū Nājiya,,,,Defeated; some captured,,,,,al-Baḥrayn,,,,Participated in Bahrain rebellion,,,,,al-Ṭabarī,,,
,,,,,,,Significant Christian population among Taghlīb,,ʿAdnān (Rabīʿa branch),,,Taghlīb and al-Namir both from Wāʾil → Rabīʿa,,,,namir_wa_taghlib,,,,,,,,,al-Namir wa-Taghlīb,,,,Submitted; important in Jazīra campaigns,,,,,Upper Mesopotamia / Jazīra,,,,Elements involved in Iraq/Jazīra disturbances,,,,,EI2: Taghlīb,,,
,,,,,,,,,ʿAdnān (Muḍar branch),,,Kināna → Khuzayma → Mudrika → Ilyās → Muḍar,,,,banu_kinana,,,,,,,,,Banū Kināna,,,Quraysh is a sub-group of Kināna,Remained largely loyal,,,,,Ḥijāz / Tihāma,,,,Some elements wavered; generally loyal,LOYAL,,,,EI2: Kināna,,,Between Mecca and coastal Tihāma
Provided leadership for futūḥāt and caliphate,,,,,,,,,ʿAdnān (Muḍar → Kināna branch),,"Trade (caravans), custodians of Kaʿba",Quraysh → Fihr → Mālik → al-Naḍr → Kināna → Khuzayma → Mudrika,,,,quraysh,,,Abū Bakr al-Ṣiddīq (caliph) | ʿUmar ibn al-Khaṭṭāb | Khālid ibn al-Walīd,,,,Mecca,,Quraysh,,,,,Medium - but politically dominant,Guardians of Kaʿba; major traders; tribe of Prophet Muḥammad,,Tribe of Prophet; early converts held power; Abū Bakr and ʿUmar were Quraysh,Ḥijāz (Mecca),,,,Did NOT participate in Ridda - core of early Muslim leadership,LOYAL,,,,EI2: Ḳuraysh | Donner 1981,Banū Hāshim | Banū Umayya | Banū Makhzūm | Banū Taym | Banū ʿAdī | Banū Zuhra,,
Core of Medinan garrison; some participated in futūḥāt,,,,,,,,,Qaḥṭān (Azd branch via Ghassān),,,Aws → Ḥāritha → Thaʿlaba → ʿAmr → ʿĀmir → Ghassān → Azd,,,,ansar_aws,,,Saʿd ibn Muʿādh (d. 627) | Usayd ibn Ḥuḍayr,,,,Medina - southern districts,,al-Aws,,,Together with Khazraj formed the Anṣār (Helpers),,,Rival of Khazraj; converted 622 CE,,Early converts (622 CE); hosted Prophet; integral to Muslim community,Medina (Yathrib),,,,"Did NOT participate - core Anṣār, defended Medina",LOYAL,,,,EI2: al-Aws,,,
Defended Medina; participated in futūḥāt,,,,,,,,,Qaḥṭān (Azd branch via Ghassān),,,Khazraj → Ḥāritha → Thaʿlaba → ʿAmr → ʿĀmir → Ghassān → Azd,,,,ansar_khazraj,,,"Saʿd ibn ʿUbāda | ʿAbdallāh ibn Ubayy (munāfiq leader, d. 631)",,,,Medina - northern districts,,al-Khazraj,,,Larger of the two Anṣār tribes,,,Rival of Aws; first to invite Prophet to Medina,,First to pledge allegiance at ʿAqaba; hosted Prophet,Medina (Yathrib),,,,"Did NOT participate - core Anṣār, defended Medina",LOYAL,,,,EI2: Khazradj,,,
Major participants in Iraq conquest; al-Mughīra became governor,,,,,,,,,ʿAdnān (Qays ʿAylān branch),,"Agriculture (grapes, fruits), trade",Thaqīf → Qasī → Munabbih → Bakr → Hawāzin,,,,thaqif,,,al-Mughīra ibn Shuʿba | Abū Sufyān ibn Ḥarb (married into),,,,al-Ṭāʾif,,Thaqīf,Siege of al-Ṭāʾif (630 CE) - converted shortly after,,,,,Last major tribe to convert (630 CE); initially resisted,,Strong leadership; integrated into Muslim state; economic ties to Mecca,Ḥijāz (al-Ṭāʾif),,,,Did NOT participate in Ridda despite late conversion,LOYAL,,,,EI2: Thaḳīf,,,
Participated in futūḥāt,,,,,,,,,ʿAdnān (Qays ʿAylān branch),,,Hawāzin → Manṣūr → ʿIkrima → Qays ʿAylān → Muḍar,,,,hawazin,,,Mālik ibn ʿAwf (converted after Ḥunayn),,,,,,Hawāzin,,,,,,Fought Muslims at Ḥunayn (630 CE); defeated and converted,,Thoroughly defeated at Ḥunayn; ransomed captives created ties,Najd / Ḥijāz borders,,,,Largely did NOT participate after Ḥunayn defeat,MOSTLY_LOYAL,,,,EI2: Hawāzin,,Thaqīf (see separate) | Saʿd ibn Bakr (Prophet's wet-nurse tribe) | Naṣr | Jusham,East and southeast of Mecca
,,,,,,,,,ʿAdnān (Muḍar branch),,,Hudhayl → Mudrika → Ilyās → Muḍar,,,,hudhayl,,,,,,,,,Hudhayl,,,Known for archery and poetry,,,Known for poetry; some early converts,,Close to Mecca; early integration; no charismatic rebel leader,Ḥijāz (between Mecca and al-Ṭāʾif),,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Hudhayl,,,Mountains east of Mecca
Abū Hurayra became one of most prolific ḥadīth narrators,,,,,,,,,Qaḥṭān (Azd branch),,,Daws → Ḥārith → Zahrān → Kaʿb → ʿAbdallāh → Mālik → Naṣr → Azd,,,,daws,,,Abū Hurayra (major ḥadīth transmitter) | al-Ṭufayl ibn ʿAmr al-Dawsī,,,,,,Daws,,,,,,Abū Hurayra's tribe; converted early,,Early conversion; Abū Hurayra's influence; integrated into community,Sarāt mountains (between Ḥijāz and Yemen),,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Daws,,,
,,,,,,,,,ʿAdnān (Muḍar branch),,,Muzayna → ʿAmr → Udd → Ṭābikha → Ilyās → Muḍar,,,,muzayna,,,Nuʿaym ibn Masʿūd | Bilāl ibn al-Ḥārith,,,,,,Muzayna,,,,,,Early converts; participated in battles with Prophet,,Close to Medina; early conversion; strong ties to Prophet,Ḥijāz (near Medina),,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Muzayna,,,Between Medina and Red Sea coast
Participated in conquest of Egypt,,,,,,,,,Disputed (Quḍāʿa),,,Juhayna → Zayd → Līth → Suwd → Aslum → al-Ḥāf → Quḍāʿa,,,,juhayna,,,ʿAmr ibn Murra al-Juhanī,,,,,,Juhayna,,,,,,Early delegation to Prophet; guides for Muslim campaigns,,Close relationship with Prophet; provided guides and support,Ḥijāz (coastal area north of Yanbuʿ),,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Djuhayna,,,"Red Sea coast, north of Medina"
,,,,,,,,,Disputed (Quḍāʿa / Khuzāʿa),,,,,,,aslam,,,Salama ibn al-Akwaʿ | Hind ibn Ḥāritha,,,,,,Aslam,,,,,,Allied with Khuzāʿa; early converts,,Very early conversion; close to Medina,Ḥijāz (near Medina),,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Aslam,,,
,,,,,,,,,ʿAdnān (Kināna branch),,,Ghifār → Mulayḥ → Ḍamra → Bakr → ʿAbd Manāt → Kināna,,,,ghifar,,,Abū Dharr al-Ghifārī (major companion),,,,,,Ghifār,,,Abū Dharr was one of first converts outside Mecca,,,Converted early; Abū Dharr al-Ghifārī was early convert,,Very early conversion (Abū Dharr); close to Muslim centers,Ḥijāz (between Mecca and Medina),,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Ghifār,,,Along the Mecca-Medina road
,,,,,,,,,Disputed (Qaḥṭān Azd or ʿAdnān),,,Disputed - either Azd or Muḍar origin,Their attack by Banū Bakr triggered conquest of Mecca,,,khuzaa,,,ʿAmr ibn Sālim al-Khuzāʿī | Budayl ibn Warqāʾ,,,,,,Khuzāʿa,,,,,,Allied with Prophet against Quraysh; custodians of Kaʿba before Quraysh,,Allied with Prophet since Ḥudaybiyya; helped trigger conquest of Mecca,Ḥijāz (around Mecca),,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Khuzāʿa,,,Marr al-Ẓahrān and coastal areas
Major participants in Iraq conquests,,,,,,,,,Qaḥṭān (Kahlān branch),,,Hamdān → Aws.lān → Mālik → Zayd → Kahlān,,,,hamdan,,,ʿAlī ibn Abī Ṭālib wrote to them,,,,Around Ṣanʿāʾ and Ṣaʿda,,Hamdān,,,,,,Major Yemeni tribe; converted 10 AH,,Rivaled Madhḥij; al-Aswad was their enemy,Yemen (northern highlands),,,,Largely did NOT join Ridda; helped suppress al-Aswad,MOSTLY_LOYAL,,,,EI2: Hamdān,,Ḥāshid | Bakīl,
Jarīr became important commander in Iraq,,,,,,,,,"Qaḥṭān (disputed, possibly Azd)",,,,,,,bajila,,,Jarīr ibn ʿAbdallāh al-Bajālī,,,,,,Bajīla,,,,,,Mountain tribe; converted late but firmly,,Integrated through conversion; no rebel leadership emerged,Sarāt mountains / Yemen borders,,,,Did NOT participate in Ridda,LOYAL,,,,EI2: Badjīla,,,
,,,,,,,,,Qaḥṭān,,,Lakhm → ʿAdī → al-Ḥārith → Murr → Adad,,,,lakhm,,,,,,,al-Ḥīra (Lakhmid capital),,Lakhm,,,Lakhmid kingdom had ended 602 CE; tribes absorbed into Muslim state during Iraq conquest,,,Lakhmid kingdom (Arab client of Sasanians); Christian elements,,,Southern Iraq / Ḥīra,,,,Outside Arabia proper; later incorporated during futūḥāt,NOT_APPLICABLE,,,,EI2: Lakhm | EI2: al-Ḥīra,,,
,,,,,,,,,Qaḥṭān (Azd branch),,,Ghassān → ʿĀmir → Māzin → al-Azd,,,,ghassan,,,Jabala ibn al-Ayham (last Ghassanid king),,,,Jābiya (Ghassanid capital),,Ghassān,,,Christian Arab kingdom; gradually absorbed during Syrian conquest,,,Ghassanid kingdom (Arab client of Byzantines); Christian,,,Southern Syria / Transjordan,,,,Outside Arabia proper; later incorporated during futūḥāt,NOT_APPLICABLE,,,,EI2: Ghassān,,,
